ID,ステータス,カテゴリ,離脱防止タグ名,離脱防止タグ,クリック時,画像URL,流入経路URL名,流入経路URL,テキスト,経過時間(秒),経過時間設定,フォーム入力中制限,スクロール(px),ブラウザヘッダ遷移,別タブ遷移(ブラウザアプリ離脱も含む),ページ最下部,編集日,編集時間,
"1449","SPのみ表示","SEO","/seo_phimo/toha_包茎を治して夜の自信","<script src='https://js.winut.net/winback.js?back_uqid=149GS1Q' async></script>","流入経路URLに遷移する","https://img.winut.net/125/x8NQQTCcAXSlZAFW-1766388853.jpg","/seo_phimo/toha_包茎を治して夜の自信","https://t.winut.netin/flow/1AV1EKQ","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月22日","16:34:13",
"1373","SPのみ表示","SEO","/seo_phimo/yokohama_包茎を治して自分に自信","<script src='https://js.winut.net/winback.js?back_uqid=1256R43' async></script>","流入経路URLに遷移する","https://img.winut.net/125/pZwBlNm0akI8bw7J-1763616167.jpg","/seo_phimo/yokohama_包茎を治して自分に自","https://t.winut.netin/flow/18CEBY1","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年11月20日","14:22:47",
"1372","SPのみ表示","SEO","/seo_phimo/yokohama_包茎を治して夜の自信","<script src='https://js.winut.net/winback.js?back_uqid=124CTUI' async></script>","流入経路URLに遷移する","https://img.winut.net/125/ZBQfonSoXAulldPP-1763616120.jpg","/seo_phimo/yokohama_包茎を治して夜の自信","https://t.winut.netin/flow/18BQZOD","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年11月20日","14:22:00",
"1371","SPのみ表示","SEO","/seo_phimo/nagoya_包茎を治して自分に自信","<script src='https://js.winut.net/winback.js?back_uqid=123GAAL' async></script>","流入経路URLに遷移する","https://img.winut.net/125/Hl6KLT2xxLIzkVfp-1763616093.jpg","/seo_phimo/nagoya_包茎を治して自分に自信","https://t.winut.netin/flow/18AOMW2","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年11月20日","14:21:33",
"1370","SPのみ表示","SEO","/seo_phimo/nagoya_包茎を治して夜の自信を","<script src='https://js.winut.net/winback.js?back_uqid=122ZHJS' async></script>","流入経路URLに遷移する","https://img.winut.net/125/JKL3lsrZQXFOWP5C-1763616070.jpg","/seo_phimo/nagoya_包茎を治して夜の自信を","https://t.winut.netin/flow/189QBUQ","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年11月20日","14:21:10",
"1369","SPのみ表示","SEO","/seo_phimo/sapporo_包茎を治して自分に自信","<script src='https://js.winut.net/winback.js?back_uqid=121RNG5' async></script>","流入経路URLに遷移する","https://img.winut.net/125/lBTXGPzb2TS1e2FB-1763616047.jpg","/seo_phimo/sapporo_包茎を治して自分に自信","https://t.winut.netin/flow/188HC00","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年11月20日","14:20:47",
"1368","SPのみ表示","SEO","/seo_phimo/sapporo_包茎を治して夜の自信を","<script src='https://js.winut.net/winback.js?back_uqid=12021LW' async></script>","流入経路URLに遷移する","https://img.winut.net/125/rzDUXTDwG9ZeU7ft-1763615998.jpg","/seo_phimo/sapporo_包茎を治して夜の自信を","https://t.winut.netin/flow/187OY7C","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年11月20日","14:19:58",
"1069","SPのみ表示","","テスト","<script src='https://js.winut.net/winback.js?back_uqid=TP8ZCZF' async></script>","そのまま閉じる","https://img.winut.net/125/PI8Ve8wJvtOmxE79-1753323646.gif","","https://t.winut.netin/flow/","","0","","","0","停止","停止","停止","2025年07月24日","11:20:46",
"1051","SPのみ表示","SEO","/seo_phimo/kanton_包茎を治して夜の自信をつ","<script src='https://js.winut.net/winback.js?back_uqid=T7D9VA1' async></script>","流入経路URLに遷移する","https://img.winut.net/125/HmseeBXGjVtEpOVY-1752224748.jpg","/seo_phimo/kanton_包茎を治して夜の自信をつ","https://t.winut.netin/flow/Y23SI46","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:42:20",
"1050","SPのみ表示","SEO","/seo_phimo/kanton_自分にぴったりの包茎の","<script src='https://js.winut.net/winback.js?back_uqid=T65PKXT' async></script>","流入経路URLに遷移する","https://img.winut.net/125/kiR5sr2cFhz9RdKT-1752224713.jpg","/seo_phimo/kanton_自分にぴったりの包茎の","https://t.winut.netin/flow/Y1JDRIA","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:42:10",
"1049","SPのみ表示","SEO","/seo_phimo/kanton_包茎を治して自分に自信","<script src='https://js.winut.net/winback.js?back_uqid=T5RKHCD' async></script>","流入経路URLに遷移する","https://img.winut.net/125/kD9L5rftYqUWGGla-1752224687.jpg","/seo_phimo/kanton_包茎を治して自分に自信","https://t.winut.netin/flow/Y0S140Z","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:41:35",
"1048","SPのみ表示","SEO","/seo_phimo/shinsei_包茎を治して夜の自信を","<script src='https://js.winut.net/winback.js?back_uqid=T4T62HG' async></script>","流入経路URLに遷移する","https://img.winut.net/125/oJDTyFrrGksat3HZ-1752223624.jpg","/seo_phimo/shinsei_包茎を治して夜の自信を","https://t.winut.netin/flow/XZR5J1L","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:41:57",
"1047","SPのみ表示","SEO","/seo_phimo/shinsei_自分にぴったりの包茎の","<script src='https://js.winut.net/winback.js?back_uqid=T3U80R6' async></script>","流入経路URLに遷移する","https://img.winut.net/125/nhg8BipmFkyobEB2-1752223586.jpg","/seo_phimo/shinsei_自分にぴったりの包茎の","https://t.winut.netin/flow/XYXLLTS","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:41:27",
"1046","SPのみ表示","SEO","/seo_phimo/shinsei_包茎を治して自分に自信","<script src='https://js.winut.net/winback.js?back_uqid=T26RD24' async></script>","流入経路URLに遷移する","https://img.winut.net/125/0A2PxjAHvOnYQKBm-1752223528.jpg","/seo_phimo/kasei_包茎を治して自分に自信をつけたい!","https://t.winut.netin/flow/XW586EN","","60","ページ表示から秒経過","未使用","0","停止","停止","停止","2025年12月18日","18:41:19",
